chain,id,lat,lon,district
Z,70000001090887061,51.11673,71.48481,Сарайшык район
Z,70000001100877765,51.09396,71.44101,Есиль район
Z,70000001112774775,51.11564,71.47430,Сарайшык район
Z,70000001089455270,51.11671,71.39199,Нура район
Z,70000001080449423,51.11317,71.46385,Сарайшык район
Z,70000001105217935,51.16954,71.44062,Байконыр район
Z,70000001039693059,51.10267,71.42879,Есиль район
Z,70000001065290502,51.12809,71.41108,Нура район
Z,70000001047480144,51.08743,71.41681,Есиль район
Z,70000001041959959,51.08759,71.41465,Есиль район
Z,70000001112782830,51.17465,71.35235,Сарыарка район
